d,reservas_musd,EMAE,IPC_VAR,Base_Monetaria,saldo comercial,Precio_Maiz,Precio_Trigo,Precio_Soja,Brecha_Usd,Tasa_Badlar,riesgo_pais,Tasa de interes Internacional,VIX,reservas_lag1,EMAE_lag1,target_reservas_next_month,cepo,cosecha_gruesa,sequia,anio_electoral,cosecha_efectiva,desembolso_fmi,trimestre,es_diciembre,brecha_promedio_3m
2003-11-30,13333.57894736842,96.37932506984068,0.002,43532.31578947369,1117.51,133.439499659864,141.347084035088,279.721085644737,-0.003472222222222,3.5,6195.84,1.24,28.21,13242.09090909091,96.1211661634036,13802.04761904762,0,0,0,1,0,0,4,0,0.008142653262516399
2003-12-31,13802.04761904762,97.06774882033956,0.002,45349.19047619047,953.44,129.285215714286,145.067495396825,283.185366068182,-0.0304054054054053,2.747023809523809,5776.17,1.24,27.42,13333.57894736842,96.37932506984068,14500.7619047619,0,0,0,1,0,0,4,1,-0.0031340343840342657
2004-01-31,14500.7619047619,98.4445963213373,0.004,46992.619047619046,713.88,123.278751020408,147.289612380952,300.8987522625,0.0242214532871971,1.851190476190476,5571.05,1.26,32.22,13802.04761904762,97.06774882033956,15006.5,0,0,0,0,0,0,1,0,-0.003218724780143399
2004-02-29,15006.5,98.18357797787056,0.001,46894.75,1031.3,104.49448877551,141.733859473684,316.551810197368,-0.0034129692832765,1.571875,5690.77,1.25,30.63,14500.7619047619,98.4445963213373,13531.08695652174,0,0,0,0,0,0,1,0,-0.003198973800494899
2004-03-31,13531.08695652174,97.77343649859702,0.006,44575.08695652174,967.52,104.0931375,142.548725,360.675360423913,0.010344827586207,1.505434782608696,5620.66,1.26,23.99,15006.5,98.18357797787056,15304.26315789474,0,0,0,0,0,0,1,0,0.0103844371967092
2004-04-30,15304.26315789474,95.1539150994344,0.009,46210.63157894737,1388.87,97.7269052721088,146.064823492064,363.50454925,0.028169014084507,1.651315789473684,4675.54,1.26,20.24,13531.08695652174,97.77343649859702,16251.4,0,1,0,0,1,0,2,0,0.011700290795812501
2004-05-31,16251.4,96.87749746899772,0.007,47068.75,1602.24,93.4151484693877,143.184267368421,347.87097975,-0.0205479452054794,3.2375,4886.98,1.22,20.36,15304.26315789474,95.1539150994344,17248.80952380952,0,1,0,0,1,0,2,0,0.005988632155078202
2004-06-30,17248.80952380952,98.6396974743446,0.006,48003.619047619046,911.36,93.7585103383459,136.86140984127,320.229696340909,-0.027027027027027,2.9821428571428568,5024.43,1.01,19.16,16251.4,96.87749746899772,17935.61904761905,0,1,0,0,1,0,2,0,-0.0064686527159997995
2004-07-31,17935.61904761905,100.8717524283984,0.005,46522.09523809524,1064.46,95.6085204081633,132.387431,289.785314,0.0,3.1994047619047614,5025.92,1.03,19.27,17248.80952380952,98.6396974743446,18073.0,0,1,0,0,1,0,3,0,-0.015858324077502133
2004-08-31,18073.0,102.20975841516832,0.003,46550.14285714286,913.32,96.03875875,122.05578,225.7900365,-0.016611295681063,4.190476190476192,5198.46,1.01,19.53,17935.61904761905,100.8717524283984,18191.04545454546,0,0,0,0,0,0,3,0,-0.014546107569363332
2004-09-30,18191.04545454546,102.34672306373008,0.006,46377.72727272727,976.72,94.3593936090225,126.8207655,206.447103,0.0,4.446022727272728,5420.57,1.01,18.02,18073.0,102.20975841516832,18392.15,0,0,0,0,0,0,3,0,-0.005537098560354333
2004-10-31,18392.15,103.13232393425764,0.004,46483.55,858.15,100.014011054422,123.056289365079,193.43370925,0.0134680134680134,4.38125,5391.69,1.0,17.4,18191.04545454546,102.34672306373008,18711.72727272727,0,0,0,0,0,0,4,0,-0.0010477607376832
2004-11-30,18711.72727272727,103.64959795144398,0.0,47096.22727272727,849.24,96.4708717687075,127.133086666667,195.8176755,0.0169491525423728,4.122159090909091,5208.72,0.98,16.83,18392.15,103.13232393425764,19318.45454545454,0,0,0,0,0,0,4,0,0.0101390553367954
2004-12-31,19318.45454545454,102.71712336642013,0.008,50634.63636363636,853.4,95.364812414966,123.554573043478,198.59095,0.0,4.011363636363637,4938.16,1.0,16.1,18711.72727272727,103.64959795144398,19850.0,0,0,0,0,0,0,4,1,0.0101390553367954
2005-01-31,19850.0,105.70228375576124,0.015,49971.47619047619,880.09,97.6152767857143,122.778962166667,195.6647954625,0.0,3.214285714285714,4990.36,1.01,16.0,19318.45454545454,102.71712336642013,20517.65,0,0,0,0,0,0,1,0,0.005649717514124267
2005-02-28,20517.65,105.99294846493947,0.009,49389.95,738.97,105.664287142857,123.129960877193,197.58924675,0.0205479452054795,2.925,5031.95,1.0,17.69,19850.0,105.70228375576124,20758.52380952381,0,0,0,0,0,0,1,0,0.006849315068493167
2005-03-31,20758.52380952381,106.76622731804092,0.015,49828.619047619046,856.87,99.2866364285714,129.955668333333,233.180530704545,0.006825938566553,3.0297619047619047,5100.95,1.0,15.7,20517.65,105.99294846493947,20632.52380952381,0,0,0,0,0,0,1,0,0.009124627924010833
2005-04-30,20632.52380952381,108.1166940651456,0.005,49920.52380952381,1180.94,97.0707683673469,120.064305079365,228.7645265,0.0068965517241379,3.9702380952380953,5794.85,1.0,17.71,20758.52380952381,106.76622731804092,21596.28571428571,0,1,0,0,1,0,2,0,0.011423478498723466
2005-05-31,21596.28571428571,109.21273088543292,0.006,50984.90476190476,1219.32,101.551246088435,119.154461904762,233.462471,0.0103806228373701,4.9434523809523805,6307.31,1.03,15.34,20632.52380952381,108.1166940651456,22582.2380952381,0,1,0,0,1,0,2,0,0.008034371042687
2005-06-30,22582.2380952381,108.6229118163501,0.009,51581.19047619047,726.58,95.9797064285714,122.473321666667,254.742401931818,0.0104166666666667,5.285714285714286,2962.05,1.26,15.5,21596.28571428571,109.21273088543292,23992.57142857143,0,1,0,0,1,0,2,0,0.009231280409391565
2005-07-31,23992.57142857143,109.178047396818,0.01,54436.47619047619,1251.97,102.676052210884,130.164439166667,253.3478115,0.0104529616724737,5.946428571428571,426.76,1.43,16.68,22582.2380952381,108.6229118163501,25104.772727272728,0,1,0,0,1,0,3,0,0.010416750392170167
2005-08-31,25104.772727272728,109.37031657391636,0.004,54185.045454545456,1211.7,102.7904075,131.558302173913,230.426931684783,0.0,5.323863636363637,419.34,1.61,14.08,23992.57142857143,109.178047396818,25578.45454545454,0,0,0,0,0,0,3,0,0.006956542779713467
2005-09-30,25578.45454545454,109.278535047962,0.012,53074.86363636364,1014.85,106.936502067669,137.386319365079,212.01552325,-0.013745704467354,5.784090909090909,396.8,1.76,14.97,25104.772727272728,109.37031657391636,26060.1,0,0,0,0,0,0,3,0,-0.0010975809316267667
2005-10-31,26060.1,109.92171940679034,0.008,55197.9,896.18,104.952080357143,143.072839206349,211.16691875,-0.0269360269360269,6.096875,391.42,1.93,13.58,25578.45454545454,109.278535047962,26507.72727272727,0,0,0,0,0,0,4,0,-0.0135605771344603
2005-11-30,26507.72727272727,111.14926191295235,0.012,55888.09090909091,572.78,107.910347368421,136.353997301587,210.9000895,-0.0235690235690236,6.778409090909091,380.13,2.16,12.46,26060.1,109.92171940679034,27323.09090909091,0,0,0,0,0,0,4,0,-0.021416918324134834
2005-12-31,27323.09090909091,112.90824237137406,0.011,55764.86363636364,1149.63,110.624682142857,139.99337,216.542872,-0.0198675496688741,7.482142857142858,494.14,2.28,13.44,26507.72727272727,111.14926191295235,19431.36363636364,0,0,0,0,0,0,4,1,-0.0234575333913082
2006-01-31,19431.36363636364,113.87158094323104,0.013,59329.63636363636,863.89,109.612356632653,144.5679565,214.0090876875,-0.022950819672131,8.21875,460.23,2.5,11.71,27323.09090909091,112.90824237137406,20045.6,0,0,0,0,0,0,1,0,-0.02212913097000957
2006-02-28,20045.6,114.73865945994336,0.004,58403.2,763.91,114.305610178571,158.887350175439,214.365646618421,-0.0162866449511399,7.378125,381.89,2.63,13.13,19431.36363636364,113.87158094323104,20907.13636363636,0,0,0,0,0,0,1,0,-0.019701671430715
2006-03-31,20907.13636363636,114.28729015649348,0.012,58455.22727272727,925.89,115.277289285714,155.793146666667,212.714071956522,-0.0032467532467532,8.210227272727273,349.33,2.79,14.46,20045.6,114.73865945994336,21891.0,0,0,0,0,0,0,1,0,-0.0141614059566747
2006-04-30,21891.0,115.7312766913345,0.01,60248.38888888889,1379.87,120.269894642857,161.208002807018,208.902438592105,0.003257328990228,9.0,332.05,3.0,13.97,20907.13636363636,114.28729015649348,23691.42857142857,0,1,0,0,1,0,2,0,-0.005425356402555033
2006-05-31,23691.42857142857,115.05627151336188,0.005,61181.90476190476,1355.36,142.262410714286,176.603423333333,217.355687181818,0.0098360655737705,8.946428571428571,343.69,3.04,11.87,21891.0,115.7312766913345,24857.7619047619,0,1,0,0,1,0,2,0,0.0032822137724150997
2006-06-30,24857.7619047619,116.26035653194694,0.005,62699.38095238096,988.6,164.10640125,176.920755,216.503901409091,0.0032467532467532,8.901785714285714,383.19,3.26,11.05,23691.42857142857,115.05627151336188,26063.04761904761,0,1,0,0,1,0,2,0,0.005446715936917233
2006-07-31,26063.04761904761,118.20554173629658,0.006,65226.66666666666,964.5,160.720734821429,181.348366833333,217.2517192125,-0.0064935064935065,9.166666666666666,362.26,3.5,12.95,24857.7619047619,116.26035653194694,27016.72727272727,0,1,0,0,1,0,3,0,0.0021964374423390667
2006-08-31,27016.72727272727,118.8299740709648,0.006,67226.40909090909,965.37,165.160018984962,165.129378333333,203.84366351087,0.0064935064935065,9.460227272727272,325.24,3.62,12.63,26063.04761904761,118.20554173629658,27753.71428571429,0,0,0,0,0,0,3,0,0.0010822510822510666
2006-09-30,27753.71428571429,119.85264347755344,0.009,69239.71428571429,878.68,177.384885526316,164.942319666667,199.307014725,0.0,9.452380952380953,331.63,3.78,14.94,27016.72727272727,118.8299740709648,28407.33333333333,0,0,0,0,0,0,3,0,0.0
2006-10-31,28407.33333333333,120.57417853809176,0.009,70098.76190476191,948.62,169.583269727891,182.432305,217.885965579545,0.0,9.470238095238097,302.61,4.0,12.15,27753.71428571429,119.85264347755344,29802.38095238095,0,0,0,0,0,0,4,0,0.0021645021645021667
2006-11-30,29802.38095238095,120.606662908907,0.007,71741.19047619047,872.85,152.630566785714,182.301077619048,244.00003925,0.0064935064935065,9.589285714285712,291.65,4.16,11.26,28407.33333333333,120.57417853809176,31153.10526315789,0,0,0,0,0,0,4,0,0.0021645021645021667
2006-12-31,31153.10526315789,123.31897884147902,0.01,76755.0,1484.98,160.139158928571,179.529555333333,243.307595475,0.0196078431372548,9.796052631578949,250.46,4.29,12.04,29802.38095238095,120.606662908907,32853.54545454546,0,0,0,0,0,0,4,1,0.008700449876920433
2007-01-31,32853.54545454546,122.06683226976972,0.011,77995.5,438.51,164.537264484127,172.5666305,255.8673795,0.006472491909385,9.198863636363637,202.7,4.49,12.47,31153.10526315789,123.31897884147902,34240.55,0,0,0,1,0,0,1,0,0.010857947180048767
2007-02-28,34240.55,124.64467750096972,0.003,76941.05,796.56,147.216401315789,175.26729,278.038610960526,-0.0064516129032258,7.946875,207.69,4.59,11.69,32853.54545454546,122.06683226976972,35884.36363636364,0,0,0,1,0,0,1,0,0.006542907381138
2007-03-31,35884.36363636364,126.51807566323647,0.008,78386.5,750.48,151.030785714286,173.313195,276.959814170455,-0.0032258064516129,8.286931818181818,220.05,4.79,11.85,34240.55,124.64467750096972,37761.72222222222,0,0,0,1,0,0,1,0,-0.0010683091484845668
2007-04-30,37761.72222222222,125.35577094402838,0.007,79653.83333333331,1237.66,160.125031578947,178.555848166667,270.3922953375,0.0097087378640776,7.885416666666667,235.08,4.94,14.45,35884.36363636364,126.51807566323647,39666.428571428565,0,1,0,1,1,0,2,0,1.0439503079633325e-05
